name,city,rating,types,latitude,longitude,description,category,price_level,historical_period,special_features
Ho Chi Minh Mausoleum,Hanoi,4.7,"['monument', 'historical', 'memorial']",21.0369,105.8325,"Lăng Chủ tịch Hồ Chí Minh - nơi an nghỉ của Bác","historical_monument",1.0,"Modern","['mausoleum', 'memorial', 'historical_significance']"
Temple of Literature,Hanoi,4.6,"['temple', 'historical', 'educational']",21.0267,105.8361,"Văn Miếu - Quốc Tử Giám trường đại học đầu tiên","educational_temple",1.0,"Ancient","['university', 'confucius', 'educational_history']"
One Pillar Pagoda,Hanoi,4.5,"['pagoda', 'unique', 'historical']",21.0356,105.8322,"Chùa Một Cột với kiến trúc độc đáo","unique_pagoda",1.0,"Ancient","['lotus_architecture', 'unique_design', 'historical']"
Hanoi Old Quarter,Hanoi,4.4,"['district', 'historical', 'cultural']",21.0347,105.8328,"Phố cổ Hà Nội với 36 phố phường","historical_district",1.0,"Ancient","['36_streets', 'traditional_architecture', 'cultural_heritage']"
Imperial Citadel of Thang Long,Hanoi,4.5,"['citadel', 'unesco', 'historical']",21.0358047,105.8403473,"Hoàng thành Thăng Long di sản UNESCO","unesco_citadel",1.0,"Ancient","['unesco_world_heritage', 'imperial_city', 'archaeological']"
Notre Dame Cathedral,Ho Chi Minh City,4.6,"['cathedral', 'colonial', 'architectural']",10.7796,106.6992,"Nhà thờ Đức Bà Sài Gòn kiến trúc Pháp","colonial_cathedral",1.0,"Colonial","['french_architecture', 'neo_romanesque', 'colonial_heritage']"
Central Post Office,Ho Chi Minh City,4.5,"['building', 'colonial', 'architectural']",10.7796,106.6992,"Bưu điện Trung tâm kiến trúc Pháp","colonial_building",1.0,"Colonial","['french_architecture', 'postal_service', 'colonial_heritage']"
Independence Palace,Ho Chi Minh City,4.7,"['palace', 'historical', 'political']",10.777,106.6953,"Dinh Độc Lập nơi kết thúc chiến tranh","historical_palace",1.0,"Modern","['war_history', 'political_significance', 'architectural']"
Cu Chi Tunnels,Ho Chi Minh City,4.8,"['tunnels', 'war_history', 'underground']",10.777,106.6953,"Địa đạo Củ Chi hệ thống đường hầm","war_tunnels",2.0,"Modern","['underground_tunnels', 'war_history', 'military_engineering']"
War Remnants Museum,Ho Chi Minh City,4.4,"['museum', 'war_history', 'educational']",10.777,106.6953,"Bảo tàng Chứng tích Chiến tranh","war_museum",1.0,"Modern","['war_history', 'educational', 'historical_artifacts']"
Hoi An Ancient Town,Hoi An,4.9,"['town', 'unesco', 'historical']",15.8786049,108.3348312,"Phố cổ Hội An di sản UNESCO","unesco_town",2.0,"Ancient","['unesco_world_heritage', 'ancient_town', 'cultural_heritage']"
Japanese Covered Bridge,Hoi An,4.7,"['bridge', 'historical', 'architectural']",15.8772,108.3308,"Chùa Cầu Nhật Bản kiến trúc độc đáo","historical_bridge",1.0,"Ancient","['japanese_architecture', 'covered_bridge', 'cultural_symbol']"
Quan Cong Temple,Hoi An,4.5,"['temple', 'chinese', 'historical']",15.8786049,108.3348312,"Đền Quan Công của người Hoa","chinese_temple",1.0,"Ancient","['chinese_architecture', 'temple', 'cultural_heritage']"
Phuc Kien Assembly Hall,Hoi An,4.4,"['hall', 'chinese', 'historical']",15.8786049,108.3348312,"Hội quán Phúc Kiến của người Hoa","chinese_hall",1.0,"Ancient","['chinese_architecture', 'assembly_hall', 'cultural_heritage']"
Tan Ky House,Hoi An,4.3,"['house', 'historical', 'architectural']",15.8786049,108.3348312,"Nhà cổ Tấn Ký kiến trúc truyền thống","historical_house",1.0,"Ancient","['traditional_architecture', 'ancient_house', 'cultural_heritage']"
Imperial City,Hue,4.8,"['citadel', 'unesco', 'imperial']",16.4689732,107.578125,"Kinh thành Huế di sản UNESCO","unesco_citadel",2.0,"Ancient","['unesco_world_heritage', 'imperial_city', 'royal_architecture']"
Thien Mu Pagoda,Hue,4.6,"['pagoda', 'historical', 'religious']",16.4567,107.5908,"Chùa Thiên Mụ ngôi chùa cổ nhất","historical_pagoda",1.0,"Ancient","['ancient_pagoda', 'religious_significance', 'historical']"
Tu Duc Tomb,Hue,4.5,"['tomb', 'imperial', 'architectural']",16.4332104,107.5644302,"Lăng Tự Đức kiến trúc đẹp nhất","imperial_tomb",2.0,"Ancient","['imperial_tomb', 'beautiful_architecture', 'royal_history']"
Khai Dinh Tomb,Hue,4.4,"['tomb', 'imperial', 'modern']",16.4567,107.5908,"Lăng Khải Định kiến trúc hiện đại","modern_imperial_tomb",2.0,"Modern","['imperial_tomb', 'modern_architecture', 'royal_history']"
Minh Mang Tomb,Hue,4.3,"['tomb', 'imperial', 'traditional']",16.4567,107.5908,"Lăng Minh Mạng kiến trúc truyền thống","traditional_imperial_tomb",2.0,"Ancient","['imperial_tomb', 'traditional_architecture', 'royal_history']"
Marble Mountains,Da Nang,4.6,"['mountains', 'religious', 'caves']",16.0567,108.2456,"Ngũ Hành Sơn với hang động và chùa","religious_mountains",2.0,"Ancient","['five_mountains', 'caves', 'temples', 'religious_significance']"
Linh Ung Pagoda,Da Nang,4.5,"['pagoda', 'modern', 'statue']",16.0567,108.2456,"Chùa Linh Ứng với tượng Phật lớn nhất","modern_pagoda",1.0,"Modern","['largest_buddha_statue', 'modern_architecture', 'religious']"
Cham Museum,Da Nang,4.4,"['museum', 'cham', 'cultural']",16.0567,108.2456,"Bảo tàng Chăm Pa nghệ thuật","cham_museum",1.0,"Ancient","['cham_art', 'cultural_museum', 'historical_artifacts']"
Dragon Bridge,Da Nang,4.3,"['bridge', 'modern', 'dragon']",16.0567,108.2456,"Cầu Rồng kiến trúc hiện đại","modern_bridge",1.0,"Modern","['dragon_design', 'modern_architecture', 'night_show']"
Love Bridge,Da Nang,4.2,"['bridge', 'romantic', 'modern']",16.0567,108.2456,"Cầu Tình Yêu lãng mạn","romantic_bridge",1.0,"Modern","['romantic_design', 'love_locks', 'couples']"
Po Nagar Cham Towers,Nha Trang,4.5,"['towers', 'cham', 'historical']",12.2388,109.1967,"Tháp Chăm Po Nagar cổ kính","cham_towers",1.0,"Ancient","['cham_architecture', 'ancient_towers', 'religious_significance']"
Long Son Pagoda,Nha Trang,4.4,"['pagoda', 'white_buddha', 'mountain']",12.2388,109.1967,"Chùa Long Sơn với tượng Phật trắng","white_buddha_pagoda",1.0,"Modern","['white_buddha_statue', 'mountain_location', 'religious']"
Hon Chong Promontory,Nha Trang,4.3,"['promontory', 'nature', 'rock']",12.2388,109.1967,"Hòn Chồng địa điểm tự nhiên","natural_promontory",1.0,"Natural","['rock_formation', 'natural_beauty', 'coastal_view']"
Vinpearl Land,Nha Trang,4.2,"['theme_park', 'modern', 'entertainment']",12.2388,109.1967,"Vinpearl Land khu vui chơi giải trí","theme_park",4.0,"Modern","['amusement_park', 'entertainment', 'family_fun']"
Nha Trang Cathedral,Nha Trang,4.1,"['cathedral', 'colonial', 'religious']",12.2388,109.1967,"Nhà thờ Nha Trang kiến trúc Pháp","colonial_cathedral",1.0,"Colonial","['french_architecture', 'colonial_heritage', 'religious']"
Xuan Huong Lake,Da Lat,4.4,"['lake', 'natural', 'romantic']",11.9404,108.4583,"Hồ Xuân Hương hồ nước đẹp","natural_lake",1.0,"Natural","['natural_lake', 'romantic_setting', 'scenic_beauty']"
Valley of Love,Da Lat,4.5,"['valley', 'romantic', 'nature']",11.9404,108.4583,"Thung lũng Tình Yêu lãng mạn","romantic_valley",2.0,"Natural","['romantic_setting', 'natural_beauty', 'flower_gardens']"
Bao Dai Palace,Da Lat,4.3,"['palace', 'royal', 'historical']",11.9404,108.4583,"Dinh Bảo Đại cung điện mùa hè","royal_palace",2.0,"Modern","['royal_palace', 'summer_residence', 'historical']"
Da Lat Railway Station,Da Lat,4.2,"['station', 'colonial', 'architectural']",11.9404,108.4583,"Ga Đà Lạt kiến trúc Pháp","colonial_station",1.0,"Colonial","['french_architecture', 'colonial_heritage', 'railway_history']"
Tuyen Lam Lake,Da Lat,4.1,"['lake', 'natural', 'peaceful']",11.9404,108.4583,"Hồ Tuyền Lâm hồ nước yên tĩnh","peaceful_lake",1.0,"Natural","['natural_lake', 'peaceful_atmosphere', 'nature']"
Phu Quoc Prison,Phu Quoc,4.3,"['prison', 'historical', 'war']",10.2899,103.9840,"Nhà tù Phú Quốc lịch sử","historical_prison",1.0,"Modern","['war_history', 'historical_significance', 'educational']"
Dinh Cau Temple,Phu Quoc,4.2,"['temple', 'coastal', 'religious']",10.2899,103.9840,"Đền Dinh Cầu bên biển","coastal_temple",1.0,"Ancient","['coastal_temple', 'religious_significance', 'fishing_culture']"
Ham Ninh Fishing Village,Phu Quoc,4.1,"['village', 'fishing', 'traditional']",10.2899,103.9840,"Làng chài Hàm Ninh truyền thống","fishing_village",1.0,"Traditional","['fishing_culture', 'traditional_village', 'local_life']"
Coi Nguon Museum,Phu Quoc,4.0,"['museum', 'local', 'cultural']",10.2899,103.9840,"Bảo tàng Cội Nguồn địa phương","local_museum",1.0,"Cultural","['local_culture', 'cultural_museum', 'historical_artifacts']"
Vinpearl Safari,Phu Quoc,4.4,"['safari', 'wildlife', 'modern']",10.2899,103.9840,"Vinpearl Safari công viên động vật","wildlife_safari",4.0,"Modern","['wildlife_park', 'safari_experience', 'animal_conservation']"
