name,city,rating,types,latitude,longitude,description,category,price_level,historical_period,special_features,amenities,room_types,cuisine_type,specialties,food_type,entertainment_type,wellness_type,family_type,created_at
Ho Chi Minh Mausoleum,Hanoi,4.7,"['monument', 'historical', 'memorial']",21.0369,105.8325,Lăng Chủ tịch Hồ Chí Minh - nơi an nghỉ của Bác,historical_monument,1.0,Modern,"['mausoleum', 'memorial', 'historical_significance']",,,,,,,,,
Temple of Literature,Hanoi,4.6,"['temple', 'historical', 'educational']",21.0267,105.8361,Văn Miếu - Quốc Tử Giám trường đại học đầu tiên,educational_temple,1.0,Ancient,"['university', 'confucius', 'educational_history']",,,,,,,,,
One Pillar Pagoda,Hanoi,4.5,"['pagoda', 'unique', 'historical']",21.0356,105.8322,Chùa Một Cột với kiến trúc độc đáo,unique_pagoda,1.0,Ancient,"['lotus_architecture', 'unique_design', 'historical']",,,,,,,,,
Hanoi Old Quarter,Hanoi,4.4,"['district', 'historical', 'cultural']",21.0347,105.8328,Phố cổ Hà Nội với 36 phố phường,historical_district,1.0,Ancient,"['36_streets', 'traditional_architecture', 'cultural_heritage']",,,,,,,,,
Imperial Citadel of Thang Long,Hanoi,4.5,"['citadel', 'unesco', 'historical']",21.0358047,105.8403473,Hoàng thành Thăng Long di sản UNESCO,unesco_citadel,1.0,Ancient,"['unesco_world_heritage', 'imperial_city', 'archaeological']",,,,,,,,,
Notre Dame Cathedral,Ho Chi Minh City,4.6,"['cathedral', 'colonial', 'architectural']",10.7796,106.6992,Nhà thờ Đức Bà Sài Gòn kiến trúc Pháp,colonial_cathedral,1.0,Colonial,"['french_architecture', 'neo_romanesque', 'colonial_heritage']",,,,,,,,,
Central Post Office,Ho Chi Minh City,4.5,"['building', 'colonial', 'architectural']",10.7796,106.6992,Bưu điện Trung tâm kiến trúc Pháp,colonial_building,1.0,Colonial,"['french_architecture', 'postal_service', 'colonial_heritage']",,,,,,,,,
Independence Palace,Ho Chi Minh City,4.7,"['palace', 'historical', 'political']",10.777,106.6953,Dinh Độc Lập nơi kết thúc chiến tranh,historical_palace,1.0,Modern,"['war_history', 'political_significance', 'architectural']",,,,,,,,,
Cu Chi Tunnels,Ho Chi Minh City,4.8,"['tunnels', 'war_history', 'underground']",10.777,106.6953,Địa đạo Củ Chi hệ thống đường hầm,war_tunnels,2.0,Modern,"['underground_tunnels', 'war_history', 'military_engineering']",,,,,,,,,
War Remnants Museum,Ho Chi Minh City,4.4,"['museum', 'war_history', 'educational']",10.777,106.6953,Bảo tàng Chứng tích Chiến tranh,war_museum,1.0,Modern,"['war_history', 'educational', 'historical_artifacts']",,,,,,,,,
Hoi An Ancient Town,Hoi An,4.9,"['town', 'unesco', 'historical']",15.8786049,108.3348312,Phố cổ Hội An di sản UNESCO,unesco_town,2.0,Ancient,"['unesco_world_heritage', 'ancient_town', 'cultural_heritage']",,,,,,,,,
Japanese Covered Bridge,Hoi An,4.7,"['bridge', 'historical', 'architectural']",15.8772,108.3308,Chùa Cầu Nhật Bản kiến trúc độc đáo,historical_bridge,1.0,Ancient,"['japanese_architecture', 'covered_bridge', 'cultural_symbol']",,,,,,,,,
Quan Cong Temple,Hoi An,4.5,"['temple', 'chinese', 'historical']",15.8786049,108.3348312,Đền Quan Công của người Hoa,chinese_temple,1.0,Ancient,"['chinese_architecture', 'temple', 'cultural_heritage']",,,,,,,,,
Phuc Kien Assembly Hall,Hoi An,4.4,"['hall', 'chinese', 'historical']",15.8786049,108.3348312,Hội quán Phúc Kiến của người Hoa,chinese_hall,1.0,Ancient,"['chinese_architecture', 'assembly_hall', 'cultural_heritage']",,,,,,,,,
Tan Ky House,Hoi An,4.3,"['house', 'historical', 'architectural']",15.8786049,108.3348312,Nhà cổ Tấn Ký kiến trúc truyền thống,historical_house,1.0,Ancient,"['traditional_architecture', 'ancient_house', 'cultural_heritage']",,,,,,,,,
Imperial City,Hue,4.8,"['citadel', 'unesco', 'imperial']",16.4689732,107.578125,Kinh thành Huế di sản UNESCO,unesco_citadel,2.0,Ancient,"['unesco_world_heritage', 'imperial_city', 'royal_architecture']",,,,,,,,,
Thien Mu Pagoda,Hue,4.6,"['pagoda', 'historical', 'religious']",16.4567,107.5908,Chùa Thiên Mụ ngôi chùa cổ nhất,historical_pagoda,1.0,Ancient,"['ancient_pagoda', 'religious_significance', 'historical']",,,,,,,,,
Tu Duc Tomb,Hue,4.5,"['tomb', 'imperial', 'architectural']",16.4332104,107.5644302,Lăng Tự Đức kiến trúc đẹp nhất,imperial_tomb,2.0,Ancient,"['imperial_tomb', 'beautiful_architecture', 'royal_history']",,,,,,,,,
Khai Dinh Tomb,Hue,4.4,"['tomb', 'imperial', 'modern']",16.4567,107.5908,Lăng Khải Định kiến trúc hiện đại,modern_imperial_tomb,2.0,Modern,"['imperial_tomb', 'modern_architecture', 'royal_history']",,,,,,,,,
Minh Mang Tomb,Hue,4.3,"['tomb', 'imperial', 'traditional']",16.4567,107.5908,Lăng Minh Mạng kiến trúc truyền thống,traditional_imperial_tomb,2.0,Ancient,"['imperial_tomb', 'traditional_architecture', 'royal_history']",,,,,,,,,
Marble Mountains,Da Nang,4.6,"['mountains', 'religious', 'caves']",16.0567,108.2456,Ngũ Hành Sơn với hang động và chùa,religious_mountains,2.0,Ancient,"['five_mountains', 'caves', 'temples', 'religious_significance']",,,,,,,,,
Linh Ung Pagoda,Da Nang,4.5,"['pagoda', 'modern', 'statue']",16.0567,108.2456,Chùa Linh Ứng với tượng Phật lớn nhất,modern_pagoda,1.0,Modern,"['largest_buddha_statue', 'modern_architecture', 'religious']",,,,,,,,,
Cham Museum,Da Nang,4.4,"['museum', 'cham', 'cultural']",16.0567,108.2456,Bảo tàng Chăm Pa nghệ thuật,cham_museum,1.0,Ancient,"['cham_art', 'cultural_museum', 'historical_artifacts']",,,,,,,,,
Dragon Bridge,Da Nang,4.3,"['bridge', 'modern', 'dragon']",16.0567,108.2456,Cầu Rồng kiến trúc hiện đại,modern_bridge,1.0,Modern,"['dragon_design', 'modern_architecture', 'night_show']",,,,,,,,,
Love Bridge,Da Nang,4.2,"['bridge', 'romantic', 'modern']",16.0567,108.2456,Cầu Tình Yêu lãng mạn,romantic_bridge,1.0,Modern,"['romantic_design', 'love_locks', 'couples']",,,,,,,,,
Po Nagar Cham Towers,Nha Trang,4.5,"['towers', 'cham', 'historical']",12.2388,109.1967,Tháp Chăm Po Nagar cổ kính,cham_towers,1.0,Ancient,"['cham_architecture', 'ancient_towers', 'religious_significance']",,,,,,,,,
Long Son Pagoda,Nha Trang,4.4,"['pagoda', 'white_buddha', 'mountain']",12.2388,109.1967,Chùa Long Sơn với tượng Phật trắng,white_buddha_pagoda,1.0,Modern,"['white_buddha_statue', 'mountain_location', 'religious']",,,,,,,,,
Hon Chong Promontory,Nha Trang,4.3,"['promontory', 'nature', 'rock']",12.2388,109.1967,Hòn Chồng địa điểm tự nhiên,natural_promontory,1.0,Natural,"['rock_formation', 'natural_beauty', 'coastal_view']",,,,,,,,,
Vinpearl Land,Nha Trang,4.2,"['theme_park', 'modern', 'entertainment']",12.2388,109.1967,Vinpearl Land khu vui chơi giải trí,theme_park,4.0,Modern,"['amusement_park', 'entertainment', 'family_fun']",,,,,,,,,
Nha Trang Cathedral,Nha Trang,4.1,"['cathedral', 'colonial', 'religious']",12.2388,109.1967,Nhà thờ Nha Trang kiến trúc Pháp,colonial_cathedral,1.0,Colonial,"['french_architecture', 'colonial_heritage', 'religious']",,,,,,,,,
Xuan Huong Lake,Da Lat,4.4,"['lake', 'natural', 'romantic']",11.9404,108.4583,Hồ Xuân Hương hồ nước đẹp,natural_lake,1.0,Natural,"['natural_lake', 'romantic_setting', 'scenic_beauty']",,,,,,,,,
Valley of Love,Da Lat,4.5,"['valley', 'romantic', 'nature']",11.9404,108.4583,Thung lũng Tình Yêu lãng mạn,romantic_valley,2.0,Natural,"['romantic_setting', 'natural_beauty', 'flower_gardens']",,,,,,,,,
Bao Dai Palace,Da Lat,4.3,"['palace', 'royal', 'historical']",11.9404,108.4583,Dinh Bảo Đại cung điện mùa hè,royal_palace,2.0,Modern,"['royal_palace', 'summer_residence', 'historical']",,,,,,,,,
Da Lat Railway Station,Da Lat,4.2,"['station', 'colonial', 'architectural']",11.9404,108.4583,Ga Đà Lạt kiến trúc Pháp,colonial_station,1.0,Colonial,"['french_architecture', 'colonial_heritage', 'railway_history']",,,,,,,,,
Tuyen Lam Lake,Da Lat,4.1,"['lake', 'natural', 'peaceful']",11.9404,108.4583,Hồ Tuyền Lâm hồ nước yên tĩnh,peaceful_lake,1.0,Natural,"['natural_lake', 'peaceful_atmosphere', 'nature']",,,,,,,,,
Phu Quoc Prison,Phu Quoc,4.3,"['prison', 'historical', 'war']",10.2899,103.984,Nhà tù Phú Quốc lịch sử,historical_prison,1.0,Modern,"['war_history', 'historical_significance', 'educational']",,,,,,,,,
Dinh Cau Temple,Phu Quoc,4.2,"['temple', 'coastal', 'religious']",10.2899,103.984,Đền Dinh Cầu bên biển,coastal_temple,1.0,Ancient,"['coastal_temple', 'religious_significance', 'fishing_culture']",,,,,,,,,
Ham Ninh Fishing Village,Phu Quoc,4.1,"['village', 'fishing', 'traditional']",10.2899,103.984,Làng chài Hàm Ninh truyền thống,fishing_village,1.0,Traditional,"['fishing_culture', 'traditional_village', 'local_life']",,,,,,,,,
Coi Nguon Museum,Phu Quoc,4.0,"['museum', 'local', 'cultural']",10.2899,103.984,Bảo tàng Cội Nguồn địa phương,local_museum,1.0,Cultural,"['local_culture', 'cultural_museum', 'historical_artifacts']",,,,,,,,,
Vinpearl Safari,Phu Quoc,4.4,"['safari', 'wildlife', 'modern']",10.2899,103.984,Vinpearl Safari công viên động vật,wildlife_safari,4.0,Modern,"['wildlife_park', 'safari_experience', 'animal_conservation']",,,,,,,,,
CGV Vincom Imperia,Hai Phong,4.0,"['attraction', 'tourism']",20.8631003004016,106.66221219999998,"1, Manhattan 10, Phường Hồng Bàng, Hải Phòng, 18000, Vietnam",attraction,0.0,,,,,,,,,,,2025-10-22T02:13:09.804332
Rạp chiếu phim CGV,Hai Phong,4.1,"['attraction', 'tourism']",20.832584000400917,106.6805654,"10, Ngõ 53 Đồng Thiện, Phường An Biên, Hải Phòng, 18000, Vietnam",attraction,0.0,,,,,,,,,,,2025-10-22T02:13:09.804343
Nhà Hát Thành phố Hải Phòng,Hai Phong,4.2,"['attraction', 'tourism']",20.85744585040147,106.68182239677452,"Phố Đinh Tiên Hoàng, Phường Hồng Bàng, Hải Phòng, 18000, Vietnam",attraction,0.0,,,,,,,,,,,2025-10-22T02:13:09.804348
Bảo tàng Hải Phòng,Hai Phong,4.3,"['attraction', 'tourism']",20.861965550401575,106.68270347978563,"66, Phố Điện Biên Phủ, Phường Hồng Bàng, Hải Phòng, 18000, Vietnam",attraction,0.0,,,,,,,,,,,2025-10-22T02:13:09.804350
Công viên,Hai Phong,4.4,"['attraction', 'tourism']",20.80281260040022,106.6267357,"Trần Nhân Tông, Phường Kiến An, Hải Phòng, Vietnam",attraction,0.0,,,,,,,,,,,2025-10-22T02:13:09.804353
Vườn hoa Nguyễn Du,Hai Phong,4.5,"['attraction', 'tourism']",20.858834500401507,106.68629844988455,"Phường Hồng Bàng, Hải Phòng, Hồng Bàng District, Vietnam",attraction,0.0,,,,,,,,,,,2025-10-22T02:13:09.804355
Vườn hoa An Biên,Hai Phong,4.6,"['attraction', 'tourism']",20.856217450401445,106.68059963035113,"Phường Hồng Bàng, Hải Phòng, Hồng Bàng District, Vietnam",attraction,0.0,,,,,,,,,,,2025-10-22T02:13:09.804358
Đài tưởng niệm các anh hùng Liệt sĩ Quận Ngô Quyền,Hai Phong,4.7,"['attraction', 'tourism']",20.847255850401254,106.6922245,"lối vào, Phường Gia Viên, Hải Phòng, 18000, Vietnam",attraction,0.0,,,,,,,,,,,2025-10-22T02:13:09.804362
vuon,Hai Phong,4.8,"['attraction', 'tourism']",20.846259400401223,106.6868093023372,"Ngõ Văn Minh, Phường Lê Chân, Hải Phòng, 18000, Vietnam",attraction,0.0,,,,,,,,,,,2025-10-22T02:13:09.804365
Nhà Triển Lãm,Hai Phong,4.9,"['attraction', 'tourism']",20.85592995040144,106.67898439999999,"1, Phố Quang Trung, Phường Hồng Bàng, Hải Phòng, 18000, Vietnam",attraction,0.0,,,,,,,,,,,2025-10-22T02:13:09.804368
Bảo tàng Hải quân,Hai Phong,4.0,"['attraction', 'tourism']",20.826035250400768,106.70041966107874,"Cầu Rào, Phường Hưng Đạo, Hải Phòng, 18000, Vietnam",attraction,0.0,,,,,,,,,,,2025-10-22T02:13:09.804370
Sân Lô 7,Hai Phong,4.1,"['attraction', 'tourism']",20.849157550401294,106.66507905,"Phường An Biên, Hải Phòng, Vietnam",attraction,0.0,,,,,,,,,,,2025-10-22T02:13:09.804373
nghĩa trang làng an trí,Hai Phong,4.2,"['attraction', 'tourism']",20.86455595040163,106.64686409999999,"Đường đê, Phường Hồng Bàng, Hải Phòng, 18000, Vietnam",attraction,0.0,,,,,,,,,,,2025-10-22T02:13:09.804375
Đài liệt sĩ Hồng Bàng,Hai Phong,4.3,"['attraction', 'tourism']",20.865867150401662,106.65016834999997,"Quốc lộ 5, An Dương, Hải Phòng, 18000, Vietnam",attraction,0.0,,,,,,,,,,,2025-10-22T02:13:09.804378
Công viên Cầu Rào,Hai Phong,4.4,"['attraction', 'tourism']",20.826708350400786,106.69807907450684,"Phường Hưng Đạo, Hải Phòng, Dương Kinh District, Vietnam",attraction,0.0,,,,,,,,,,,2025-10-22T02:13:09.804380
Mồ liệt sỹ Nam Hải,Hai Phong,4.5,"['attraction', 'tourism']",20.829872750400853,106.73626746120728,"Đường Nam Phong, Hải Phòng, 04813, Vietnam",attraction,0.0,,,,,,,,,,,2025-10-22T02:13:09.804383
Vườn hoa Nguyễn Bỉnh Khiêm,Hai Phong,4.6,"['attraction', 'tourism']",20.85774095040148,106.6848465627518,"Phường Hồng Bàng, Hải Phòng, Hồng Bàng District, Vietnam",attraction,0.0,,,,,,,,,,,2025-10-22T02:13:09.804385
Vườn hoa Nguyễn Văn Trỗi,Hai Phong,4.7,"['attraction', 'tourism']",20.85674020040146,106.68296405916682,"Phường Hồng Bàng, Hải Phòng, Hồng Bàng District, Vietnam",attraction,0.0,,,,,,,,,,,2025-10-22T02:13:09.804389
Rạp Lê Văn Tám,Hai Phong,4.8,"['attraction', 'tourism']",20.854880200401425,106.68028539026548,"Phố Lê Chân, Phường Lê Chân, Hải Phòng, 18000, Vietnam",attraction,0.0,,,,,,,,,,,2025-10-22T02:13:09.804391
Rạp Công Nhân,Hai Phong,4.9,"['attraction', 'tourism']",20.85424845040141,106.68392813610491,"Phố Lương Khánh Thiện (Phố Ga), Phường Gia Viên, Hải Phòng, 18000, Vietnam",attraction,0.0,,,,,,,,,,,2025-10-22T02:13:09.804393
Phi Long Thần Tốc,Ha Long,4.0,"['attraction', 'tourism']",20.954135250403482,107.04775953455983,"Đường Hạ Long, Bãi Cháy, Hạ Long, Quảng Ninh Province 01000, Vietnam",attraction,0.0,,,,,,,,,,,2025-10-22T02:13:22.154770
Vịnh Hạ Long,Ha Long,4.1,"['attraction', 'tourism']",20.908438400402563,107.06827819999998,"Hạ Long, Quảng Ninh Province 01000, Vietnam",attraction,0.0,,,,,,,,,,,2025-10-22T02:13:22.154779
Sunworld,Ha Long,4.2,"['attraction', 'tourism']",20.951811000403445,107.04844575445435,"Lý Quốc Sư, Bãi Cháy, Hạ Long, Quảng Ninh Province 01000, Vietnam",attraction,0.0,,,,,,,,,,,2025-10-22T02:13:22.154782
Hòn Gà chọi,Ha Long,4.3,"['attraction', 'tourism']",20.890491650402193,107.02613064122244,"Hạ Long, Quảng Ninh Province, Vietnam",attraction,0.0,,,,,,,,,,,2025-10-22T02:13:22.154784
Công viên Lán Bè,Ha Long,4.4,"['attraction', 'tourism']",20.950779200403417,107.08800623439524,"Hong Gai, Hạ Long, Quảng Ninh Province, Vietnam",attraction,0.0,,,,,,,,,,,2025-10-22T02:13:22.154787
Vườn hoa,Ha Long,4.5,"['attraction', 'tourism']",20.949225550403398,107.08301209935385,"Trần Hưng Đạo, Hạ Long, Quảng Ninh Province, Vietnam",attraction,0.0,,,,,,,,,,,2025-10-22T02:13:22.154790
"Cung Quy hoạch, Hội chợ và Triển lãm tỉnh Quảng Ninh",Ha Long,4.6,"['attraction', 'tourism']",20.94614640040332,107.10165737192838,"Tran Quoc Nghien Road, Phường Hạ Long, Hạ Long, Quảng Ninh Province 01100, Vietnam",attraction,0.0,,,,,,,,,,,2025-10-22T02:13:22.154792
Công viên Vinhomes Dragon Bay,Ha Long,4.8,"['attraction', 'tourism']",20.951272650403432,107.07248508401919,"Yết Kiêu, Hạ Long, Quảng Ninh Province, Vietnam",attraction,0.0,,,,,,,,,,,2025-10-22T02:13:22.154797
Tháp Đồng Hồ,Ha Long,4.9,"['attraction', 'tourism']",20.951610550403434,107.08519985000001,"Vòng Xuyến, Trần Hưng Đạo, Hạ Long, Quảng Ninh Province 01100, Vietnam",attraction,0.0,,,,,,,,,,,2025-10-22T02:13:22.154799
Zen Garden,Ha Long,4.0,"['attraction', 'tourism']",20.956095450403524,107.0719755166615,"Đường Đặng Bá Hát, Yết Kiêu, Hạ Long, Quảng Ninh Province 01000, Vietnam",attraction,0.0,,,,,,,,,,,2025-10-22T02:13:22.154802
