name,city,rating,types,latitude,longitude,description,category,price_level,cuisine_type,specialties
Quan An Ngon,Hanoi,4.5,"['restaurant', 'traditional', 'local']",21.0255,105.8542,"Nhà hàng phở nổi tiếng nhất Hà Nội","traditional_restaurant",2.0,"Vietnamese","['pho_bo', 'pho_ga', 'bun_cha']"
Cha Ca La Vong,Hanoi,4.4,"['restaurant', 'historic', 'specialty']",21.0255,105.8542,"Nhà hàng chả cá lã Vọng lịch sử","specialty_restaurant",3.0,"Vietnamese","['cha_ca_la_vong', 'nem_cua_be']"
Bun Cha Huong Lien,Hanoi,4.6,"['restaurant', 'famous', 'local']",21.0255,105.8542,"Quán bún chả Obama đã ăn","famous_restaurant",1.0,"Vietnamese","['bun_cha', 'nem_ran']"
Com Ga Hai Nam,Hanoi,4.3,"['restaurant', 'chicken', 'local']",21.0255,105.8542,"Cơm gà Hải Nam nổi tiếng","chicken_restaurant",2.0,"Vietnamese","['com_ga_hai_nam', 'ga_nuong']"
Banh Cuon Ba Hoanh,Hanoi,4.2,"['restaurant', 'breakfast', 'local']",21.0255,105.8542,"Bánh cuốn bà Hoành ngon nhất","breakfast_restaurant",1.0,"Vietnamese","['banh_cuon', 'banh_xeo']"
Ngon Villa Saigon,Ho Chi Minh City,4.4,"['restaurant', 'traditional', 'upscale']",10.7796,106.6992,"Nhà hàng Việt Nam cao cấp","upscale_restaurant",3.0,"Vietnamese","['pho', 'bun_bo_hue', 'com_tam']"
Quan Ut Ut,Ho Chi Minh City,4.5,"['restaurant', 'bbq', 'popular']",10.7796,106.6992,"Quán BBQ nổi tiếng nhất Sài Gòn","bbq_restaurant",2.0,"Vietnamese","['thit_nuong', 'nem_nuong']"
Com Tam Cali,Ho Chi Minh City,4.3,"['restaurant', 'rice', 'local']",10.7796,106.6992,"Cơm tấm Cali ngon nhất","rice_restaurant",1.0,"Vietnamese","['com_tam', 'suon_nuong']"
Banh Mi Huynh Hoa,Ho Chi Minh City,4.6,"['restaurant', 'sandwich', 'famous']",10.7796,106.6992,"Bánh mì Huỳnh Hoa nổi tiếng","sandwich_shop",1.0,"Vietnamese","['banh_mi_thit', 'banh_mi_pate']"
Pho Le,Ho Chi Minh City,4.4,"['restaurant', 'pho', 'chain']",10.7796,106.6992,"Phở Lê chuỗi nổi tiếng","pho_chain",2.0,"Vietnamese","['pho_bo', 'pho_ga']"
Morning Glory Restaurant,Hoi An,4.7,"['restaurant', 'traditional', 'upscale']",15.8786049,108.3348312,"Nhà hàng truyền thống cao cấp","upscale_restaurant",3.0,"Vietnamese","['cao_lau', 'banh_xeo', 'white_rose']"
Cargo Club,Hoi An,4.5,"['restaurant', 'fusion', 'modern']",15.8786049,108.3348312,"Nhà hàng fusion hiện đại","fusion_restaurant",3.0,"Fusion","['cao_lau_fusion', 'banh_mi_fusion']"
Banh Mi Phuong,Hoi An,4.6,"['restaurant', 'sandwich', 'famous']",15.8786049,108.3348312,"Bánh mì Phượng nổi tiếng","sandwich_shop",1.0,"Vietnamese","['banh_mi_thit', 'banh_mi_cha_ca']"
White Rose Restaurant,Hoi An,4.4,"['restaurant', 'specialty', 'traditional']",15.8786049,108.3348312,"Nhà hàng bánh bao trắng","specialty_restaurant",2.0,"Vietnamese","['white_rose', 'cao_lau']"
Com Ga Ba Buoi,Hoi An,4.3,"['restaurant', 'chicken', 'local']",15.8786049,108.3348312,"Cơm gà bà Buội ngon","chicken_restaurant",2.0,"Vietnamese","['com_ga', 'ga_nuong']"
Lac Thien Restaurant,Hue,4.4,"['restaurant', 'vegetarian', 'traditional']",16.4689732,107.578125,"Nhà hàng chay nổi tiếng","vegetarian_restaurant",2.0,"Vegetarian","['com_chay', 'bun_chay']"
Quan Com Hue,Hue,4.5,"['restaurant', 'traditional', 'royal']",16.4689732,107.578125,"Quán cơm Huế hoàng gia","royal_restaurant",2.0,"Vietnamese","['com_hen', 'bun_bo_hue']"
Banh Khoai Co Ba,Hue,4.3,"['restaurant', 'pancake', 'local']",16.4689732,107.578125,"Bánh khoái cô Ba","pancake_restaurant",1.0,"Vietnamese","['banh_khoai', 'banh_loc']"
Nem Lui Co Ba,Hue,4.2,"['restaurant', 'grilled', 'local']",16.4689732,107.578125,"Nem lụi cô Ba","grilled_restaurant",1.0,"Vietnamese","['nem_lui', 'thit_nuong']"
Bun Bo Hue O Le,Hue,4.6,"['restaurant', 'soup', 'famous']",16.4689732,107.578125,"Bún bò Huế Ô Lê","soup_restaurant",2.0,"Vietnamese","['bun_bo_hue', 'bun_hen']"
Waterfront Restaurant,Da Nang,4.5,"['restaurant', 'seafood', 'waterfront']",16.0567,108.2456,"Nhà hàng hải sản bên sông","seafood_restaurant",3.0,"Seafood","['ca_nuong', 'tom_su', 'cua_bien']"
Lam Vien Restaurant,Da Nang,4.4,"['restaurant', 'traditional', 'local']",16.0567,108.2456,"Nhà hàng Lâm Viên truyền thống","traditional_restaurant",2.0,"Vietnamese","['mi_quang', 'banh_xeo']"
Mi Quang Ba Mua,Da Nang,4.6,"['restaurant', 'noodles', 'famous']",16.0567,108.2456,"Mì Quảng bà Mua","noodle_restaurant",1.0,"Vietnamese","['mi_quang', 'banh_trang_cuon']"
Banh Xeo Ba Duong,Da Nang,4.3,"['restaurant', 'pancake', 'local']",16.0567,108.2456,"Bánh xèo bà Dương","pancake_restaurant",1.0,"Vietnamese","['banh_xeo', 'nem_lui']"
Com Ga Ba Lu,Da Nang,4.2,"['restaurant', 'chicken', 'local']",16.0567,108.2456,"Cơm gà bà Lữ","chicken_restaurant",1.0,"Vietnamese","['com_ga', 'ga_nuong']"
Lac Canh Restaurant,Nha Trang,4.5,"['restaurant', 'bbq', 'famous']",12.2388,109.1967,"Nhà hàng BBQ Lạc Cảnh","bbq_restaurant",2.0,"Vietnamese","['thit_nuong', 'nem_nuong']"
Yen's Restaurant,Nha Trang,4.4,"['restaurant', 'seafood', 'local']",12.2388,109.1967,"Nhà hàng hải sản Yến","seafood_restaurant",2.0,"Seafood","['ca_nuong', 'tom_su', 'cua_bien']"
Banh Can Cau Vong,Nha Trang,4.3,"['restaurant', 'pancake', 'local']",12.2388,109.1967,"Bánh căn cầu vồng","pancake_restaurant",1.0,"Vietnamese","['banh_can', 'banh_xeo']"
Bun Sua Cay Tre,Nha Trang,4.6,"['restaurant', 'noodles', 'famous']",12.2388,109.1967,"Bún sứa cây tre","noodle_restaurant",1.0,"Vietnamese","['bun_sua', 'bun_rieu']"
Com Ga Nha Trang,Nha Trang,4.2,"['restaurant', 'chicken', 'local']",12.2388,109.1967,"Cơm gà Nha Trang","chicken_restaurant",1.0,"Vietnamese","['com_ga', 'ga_nuong']"
Goc Ha Thanh Restaurant,Da Lat,4.4,"['restaurant', 'traditional', 'mountain']",11.9404,108.4583,"Nhà hàng Góc Hà Thành","traditional_restaurant",2.0,"Vietnamese","['com_ga', 'bun_bo']"
Quan Nem Nuong Ba Hien,Da Lat,4.5,"['restaurant', 'grilled', 'famous']",11.9404,108.4583,"Quán nem nướng bà Hiền","grilled_restaurant",2.0,"Vietnamese","['nem_nuong', 'thit_nuong']"
Banh Mi Ong Ba,Da Lat,4.3,"['restaurant', 'sandwich', 'local']",11.9404,108.4583,"Bánh mì ông Bà","sandwich_shop",1.0,"Vietnamese","['banh_mi_thit', 'banh_mi_pate']"
Com Ga Da Lat,Da Lat,4.2,"['restaurant', 'chicken', 'local']",11.9404,108.4583,"Cơm gà Đà Lạt","chicken_restaurant",1.0,"Vietnamese","['com_ga', 'ga_nuong']"
Bun Bo Da Lat,Da Lat,4.1,"['restaurant', 'soup', 'local']",11.9404,108.4583,"Bún bò Đà Lạt","soup_restaurant",1.0,"Vietnamese","['bun_bo', 'bun_rieu']"
Ganh Hao Restaurant,Phu Quoc,4.6,"['restaurant', 'seafood', 'famous']",10.2899,103.9840,"Nhà hàng hải sản Gành Hào","seafood_restaurant",3.0,"Seafood","['ca_nuong', 'tom_su', 'cua_bien']"
Rory's Beach Bar,Phu Quoc,4.4,"['restaurant', 'bar', 'beachfront']",10.2899,103.9840,"Quán bar bãi biển Rory","beach_bar",2.0,"International","['seafood', 'cocktails', 'bbq']"
Banh Mi Phu Quoc,Phu Quoc,4.3,"['restaurant', 'sandwich', 'local']",10.2899,103.9840,"Bánh mì Phú Quốc","sandwich_shop",1.0,"Vietnamese","['banh_mi_thit', 'banh_mi_pate']"
Com Ga Phu Quoc,Phu Quoc,4.2,"['restaurant', 'chicken', 'local']",10.2899,103.9840,"Cơm gà Phú Quốc","chicken_restaurant",1.0,"Vietnamese","['com_ga', 'ga_nuong']"
Bun Ca Phu Quoc,Phu Quoc,4.1,"['restaurant', 'soup', 'local']",10.2899,103.9840,"Bún cá Phú Quốc","soup_restaurant",1.0,"Vietnamese","['bun_ca', 'bun_rieu']"
