name,city,rating,types,latitude,longitude,description,category,price_level,cuisine_type,specialties,amenities,room_types,food_type,historical_period,special_features,entertainment_type,wellness_type,family_type,created_at
Quan An Ngon,Hanoi,4.5,"['restaurant', 'traditional', 'local']",21.0255,105.8542,Nhà hàng phở nổi tiếng nhất Hà Nội,traditional_restaurant,2.0,Vietnamese,"['pho_bo', 'pho_ga', 'bun_cha']",,,,,,,,,
Cha Ca La Vong,Hanoi,4.4,"['restaurant', 'historic', 'specialty']",21.0255,105.8542,Nhà hàng chả cá lã Vọng lịch sử,specialty_restaurant,3.0,Vietnamese,"['cha_ca_la_vong', 'nem_cua_be']",,,,,,,,,
Bun Cha Huong Lien,Hanoi,4.6,"['restaurant', 'famous', 'local']",21.0255,105.8542,Quán bún chả Obama đã ăn,famous_restaurant,1.0,Vietnamese,"['bun_cha', 'nem_ran']",,,,,,,,,
Com Ga Hai Nam,Hanoi,4.3,"['restaurant', 'chicken', 'local']",21.0255,105.8542,Cơm gà Hải Nam nổi tiếng,chicken_restaurant,2.0,Vietnamese,"['com_ga_hai_nam', 'ga_nuong']",,,,,,,,,
Banh Cuon Ba Hoanh,Hanoi,4.2,"['restaurant', 'breakfast', 'local']",21.0255,105.8542,Bánh cuốn bà Hoành ngon nhất,breakfast_restaurant,1.0,Vietnamese,"['banh_cuon', 'banh_xeo']",,,,,,,,,
Ngon Villa Saigon,Ho Chi Minh City,4.4,"['restaurant', 'traditional', 'upscale']",10.7796,106.6992,Nhà hàng Việt Nam cao cấp,upscale_restaurant,3.0,Vietnamese,"['pho', 'bun_bo_hue', 'com_tam']",,,,,,,,,
Quan Ut Ut,Ho Chi Minh City,4.5,"['restaurant', 'bbq', 'popular']",10.7796,106.6992,Quán BBQ nổi tiếng nhất Sài Gòn,bbq_restaurant,2.0,Vietnamese,"['thit_nuong', 'nem_nuong']",,,,,,,,,
Com Tam Cali,Ho Chi Minh City,4.3,"['restaurant', 'rice', 'local']",10.7796,106.6992,Cơm tấm Cali ngon nhất,rice_restaurant,1.0,Vietnamese,"['com_tam', 'suon_nuong']",,,,,,,,,
Banh Mi Huynh Hoa,Ho Chi Minh City,4.6,"['restaurant', 'sandwich', 'famous']",10.7796,106.6992,Bánh mì Huỳnh Hoa nổi tiếng,sandwich_shop,1.0,Vietnamese,"['banh_mi_thit', 'banh_mi_pate']",,,,,,,,,
Pho Le,Ho Chi Minh City,4.4,"['restaurant', 'pho', 'chain']",10.7796,106.6992,Phở Lê chuỗi nổi tiếng,pho_chain,2.0,Vietnamese,"['pho_bo', 'pho_ga']",,,,,,,,,
Morning Glory Restaurant,Hoi An,4.7,"['restaurant', 'traditional', 'upscale']",15.8786049,108.3348312,Nhà hàng truyền thống cao cấp,upscale_restaurant,3.0,Vietnamese,"['cao_lau', 'banh_xeo', 'white_rose']",,,,,,,,,
Cargo Club,Hoi An,4.5,"['restaurant', 'fusion', 'modern']",15.8786049,108.3348312,Nhà hàng fusion hiện đại,fusion_restaurant,3.0,Fusion,"['cao_lau_fusion', 'banh_mi_fusion']",,,,,,,,,
Banh Mi Phuong,Hoi An,4.6,"['restaurant', 'sandwich', 'famous']",15.8786049,108.3348312,Bánh mì Phượng nổi tiếng,sandwich_shop,1.0,Vietnamese,"['banh_mi_thit', 'banh_mi_cha_ca']",,,,,,,,,
White Rose Restaurant,Hoi An,4.4,"['restaurant', 'specialty', 'traditional']",15.8786049,108.3348312,Nhà hàng bánh bao trắng,specialty_restaurant,2.0,Vietnamese,"['white_rose', 'cao_lau']",,,,,,,,,
Com Ga Ba Buoi,Hoi An,4.3,"['restaurant', 'chicken', 'local']",15.8786049,108.3348312,Cơm gà bà Buội ngon,chicken_restaurant,2.0,Vietnamese,"['com_ga', 'ga_nuong']",,,,,,,,,
Lac Thien Restaurant,Hue,4.4,"['restaurant', 'vegetarian', 'traditional']",16.4689732,107.578125,Nhà hàng chay nổi tiếng,vegetarian_restaurant,2.0,Vegetarian,"['com_chay', 'bun_chay']",,,,,,,,,
Quan Com Hue,Hue,4.5,"['restaurant', 'traditional', 'royal']",16.4689732,107.578125,Quán cơm Huế hoàng gia,royal_restaurant,2.0,Vietnamese,"['com_hen', 'bun_bo_hue']",,,,,,,,,
Banh Khoai Co Ba,Hue,4.3,"['restaurant', 'pancake', 'local']",16.4689732,107.578125,Bánh khoái cô Ba,pancake_restaurant,1.0,Vietnamese,"['banh_khoai', 'banh_loc']",,,,,,,,,
Nem Lui Co Ba,Hue,4.2,"['restaurant', 'grilled', 'local']",16.4689732,107.578125,Nem lụi cô Ba,grilled_restaurant,1.0,Vietnamese,"['nem_lui', 'thit_nuong']",,,,,,,,,
Bun Bo Hue O Le,Hue,4.6,"['restaurant', 'soup', 'famous']",16.4689732,107.578125,Bún bò Huế Ô Lê,soup_restaurant,2.0,Vietnamese,"['bun_bo_hue', 'bun_hen']",,,,,,,,,
Waterfront Restaurant,Da Nang,4.5,"['restaurant', 'seafood', 'waterfront']",16.0567,108.2456,Nhà hàng hải sản bên sông,seafood_restaurant,3.0,Seafood,"['ca_nuong', 'tom_su', 'cua_bien']",,,,,,,,,
Lam Vien Restaurant,Da Nang,4.4,"['restaurant', 'traditional', 'local']",16.0567,108.2456,Nhà hàng Lâm Viên truyền thống,traditional_restaurant,2.0,Vietnamese,"['mi_quang', 'banh_xeo']",,,,,,,,,
Mi Quang Ba Mua,Da Nang,4.6,"['restaurant', 'noodles', 'famous']",16.0567,108.2456,Mì Quảng bà Mua,noodle_restaurant,1.0,Vietnamese,"['mi_quang', 'banh_trang_cuon']",,,,,,,,,
Banh Xeo Ba Duong,Da Nang,4.3,"['restaurant', 'pancake', 'local']",16.0567,108.2456,Bánh xèo bà Dương,pancake_restaurant,1.0,Vietnamese,"['banh_xeo', 'nem_lui']",,,,,,,,,
Com Ga Ba Lu,Da Nang,4.2,"['restaurant', 'chicken', 'local']",16.0567,108.2456,Cơm gà bà Lữ,chicken_restaurant,1.0,Vietnamese,"['com_ga', 'ga_nuong']",,,,,,,,,
Lac Canh Restaurant,Nha Trang,4.5,"['restaurant', 'bbq', 'famous']",12.2388,109.1967,Nhà hàng BBQ Lạc Cảnh,bbq_restaurant,2.0,Vietnamese,"['thit_nuong', 'nem_nuong']",,,,,,,,,
Yen's Restaurant,Nha Trang,4.4,"['restaurant', 'seafood', 'local']",12.2388,109.1967,Nhà hàng hải sản Yến,seafood_restaurant,2.0,Seafood,"['ca_nuong', 'tom_su', 'cua_bien']",,,,,,,,,
Banh Can Cau Vong,Nha Trang,4.3,"['restaurant', 'pancake', 'local']",12.2388,109.1967,Bánh căn cầu vồng,pancake_restaurant,1.0,Vietnamese,"['banh_can', 'banh_xeo']",,,,,,,,,
Bun Sua Cay Tre,Nha Trang,4.6,"['restaurant', 'noodles', 'famous']",12.2388,109.1967,Bún sứa cây tre,noodle_restaurant,1.0,Vietnamese,"['bun_sua', 'bun_rieu']",,,,,,,,,
Com Ga Nha Trang,Nha Trang,4.2,"['restaurant', 'chicken', 'local']",12.2388,109.1967,Cơm gà Nha Trang,chicken_restaurant,1.0,Vietnamese,"['com_ga', 'ga_nuong']",,,,,,,,,
Goc Ha Thanh Restaurant,Da Lat,4.4,"['restaurant', 'traditional', 'mountain']",11.9404,108.4583,Nhà hàng Góc Hà Thành,traditional_restaurant,2.0,Vietnamese,"['com_ga', 'bun_bo']",,,,,,,,,
Quan Nem Nuong Ba Hien,Da Lat,4.5,"['restaurant', 'grilled', 'famous']",11.9404,108.4583,Quán nem nướng bà Hiền,grilled_restaurant,2.0,Vietnamese,"['nem_nuong', 'thit_nuong']",,,,,,,,,
Banh Mi Ong Ba,Da Lat,4.3,"['restaurant', 'sandwich', 'local']",11.9404,108.4583,Bánh mì ông Bà,sandwich_shop,1.0,Vietnamese,"['banh_mi_thit', 'banh_mi_pate']",,,,,,,,,
Com Ga Da Lat,Da Lat,4.2,"['restaurant', 'chicken', 'local']",11.9404,108.4583,Cơm gà Đà Lạt,chicken_restaurant,1.0,Vietnamese,"['com_ga', 'ga_nuong']",,,,,,,,,
Bun Bo Da Lat,Da Lat,4.1,"['restaurant', 'soup', 'local']",11.9404,108.4583,Bún bò Đà Lạt,soup_restaurant,1.0,Vietnamese,"['bun_bo', 'bun_rieu']",,,,,,,,,
Ganh Hao Restaurant,Phu Quoc,4.6,"['restaurant', 'seafood', 'famous']",10.2899,103.984,Nhà hàng hải sản Gành Hào,seafood_restaurant,3.0,Seafood,"['ca_nuong', 'tom_su', 'cua_bien']",,,,,,,,,
Rory's Beach Bar,Phu Quoc,4.4,"['restaurant', 'bar', 'beachfront']",10.2899,103.984,Quán bar bãi biển Rory,beach_bar,2.0,International,"['seafood', 'cocktails', 'bbq']",,,,,,,,,
Banh Mi Phu Quoc,Phu Quoc,4.3,"['restaurant', 'sandwich', 'local']",10.2899,103.984,Bánh mì Phú Quốc,sandwich_shop,1.0,Vietnamese,"['banh_mi_thit', 'banh_mi_pate']",,,,,,,,,
Com Ga Phu Quoc,Phu Quoc,4.2,"['restaurant', 'chicken', 'local']",10.2899,103.984,Cơm gà Phú Quốc,chicken_restaurant,1.0,Vietnamese,"['com_ga', 'ga_nuong']",,,,,,,,,
Bun Ca Phu Quoc,Phu Quoc,4.1,"['restaurant', 'soup', 'local']",10.2899,103.984,Bún cá Phú Quốc,soup_restaurant,1.0,Vietnamese,"['bun_ca', 'bun_rieu']",,,,,,,,,
Blnk Cafe,Hai Phong,4.0,"['restaurant', 'food']",20.83549490040098,106.68905530000002,"27, Phố Ngô Kim Tài, Phường Lê Chân, Hải Phòng, 18000, Vietnam",restaurant,0.0,vietnamese,,,,vietnamese,,,,,,2025-10-22T02:13:04.101679
Cosy cà phê 1985s,Hai Phong,4.1,"['restaurant', 'food']",20.81190495040044,106.62415134999999,"318, Phố Hòa Bình, Phường Kiến An, Hải Phòng, Vietnam",restaurant,0.0,vietnamese,,,,vietnamese,,,,,,2025-10-22T02:13:04.101690
E-COFFEE Việt Nam,Hai Phong,4.2,"['restaurant', 'food']",20.829798500400845,106.70111399999999,"32, Phố Ngô Gia Tự, Phường Hải An, Hải Phòng, 18000, Vietnam",restaurant,0.0,vietnamese,,,,vietnamese,,,,,,2025-10-22T02:13:04.101694
Vườn Bia 69,Hai Phong,4.3,"['restaurant', 'food']",20.834658900400957,106.7235803,"Số 5, Phố Trần Hoàn, Phường Hải An, Hải Phòng, 04813, Vietnam",restaurant,0.0,vietnamese,,,,vietnamese,,,,,,2025-10-22T02:13:04.101697
LUCY BOARDGAME,Hai Phong,4.4,"['restaurant', 'food']",20.836542800401006,106.69027579999998,"38, Phố Lê Văn Thuyết, Phường Lê Chân, Hải Phòng, 18000, Vietnam",restaurant,0.0,vietnamese,,,,vietnamese,,,,,,2025-10-22T02:13:04.101699
Khoảng Trời Hạnh Phúc,Hai Phong,4.5,"['restaurant', 'food']",20.838010400401043,106.690864,"1/33, Ngõ 8 Nguyễn Bình, Phường Lê Chân, Hải Phòng, 18000, Vietnam",restaurant,0.0,vietnamese,,,,vietnamese,,,,,,2025-10-22T02:13:04.101702
August Coffee & Tea,Hai Phong,4.6,"['restaurant', 'food']",20.897972400402352,106.6874351,"xóm giữa Dương Quan, Đông Nam, Hải Phòng, 04340, Vietnam",restaurant,0.0,vietnamese,,,,vietnamese,,,,,,2025-10-22T02:13:04.101704
Trà Cúc Trang Tít,Hai Phong,4.7,"['restaurant', 'food']",20.804006850400253,106.6247939,"30, Phố Phan Đăng Lưu, Phường Kiến An, Hải Phòng, Vietnam",restaurant,0.0,vietnamese,,,,vietnamese,,,,,,2025-10-22T02:13:04.101706
Ma vie,Hai Phong,4.8,"['restaurant', 'food']",20.85924180040151,106.69341809999999,"41, Phố Lê Lợi, Phường Gia Viên, Hải Phòng, 18000, Vietnam",restaurant,0.0,vietnamese,,,,vietnamese,,,,,,2025-10-22T02:13:04.101708
Effoc coffee,Hai Phong,4.9,"['restaurant', 'food']",20.859858000401523,106.68130630000002,"56, Hoang Van Thu Bridge, Phường Hồng Bàng, Hải Phòng, 18000, Vietnam",restaurant,0.0,vietnamese,,,,vietnamese,,,,,,2025-10-22T02:13:04.101712
Cộng Cà Phê,Hai Phong,4.0,"['restaurant', 'food']",20.861816900401575,106.68163479999998,"84, Phố Điện Biên Phủ, Phường Hồng Bàng, Hải Phòng, 18000, Vietnam",restaurant,0.0,vietnamese,,,,vietnamese,,,,,,2025-10-22T02:13:04.101716
老板-中国餐厅,Hai Phong,4.1,"['restaurant', 'food']",20.850085500401306,106.67556069999999,"297, Phố Tô Hiệu, Phường Lê Chân, Hải Phòng, 18000, Vietnam",restaurant,0.0,vietnamese,,,,vietnamese,,,,,,2025-10-22T02:13:04.101718
Jollibee,Hai Phong,4.2,"['restaurant', 'food']",20.803367900400243,106.6259921,"Vòng xuyến Kiến An, Phường Kiến An, Hải Phòng, Vietnam",restaurant,0.0,vietnamese,,,,vietnamese,,,,,,2025-10-22T02:13:04.101720
Gà Dương Hậu,Hai Phong,4.3,"['restaurant', 'food']",20.82236115040068,106.64514582936545,"116, Đường Lê Duẩn, Phường Kiến An, Hải Phòng, 18000, Vietnam",restaurant,0.0,vietnamese,,,,vietnamese,,,,,,2025-10-22T02:13:04.101722
Thái Hòa Viên,Hai Phong,4.4,"['restaurant', 'food']",20.82421610040073,106.6990271,"Đường Phạm Văn Đồng, Phường Hưng Đạo, Hải Phòng, 18000, Vietnam",restaurant,0.0,vietnamese,,,,vietnamese,,,,,,2025-10-22T02:13:04.101724
Pizza Hut,Hai Phong,4.5,"['restaurant', 'food']",20.85164690040135,106.6835122,"91, Phố Tô Hiệu, Phường Lê Chân, Hải Phòng, 18000, Vietnam",restaurant,0.0,vietnamese,,,,vietnamese,,,,,,2025-10-22T02:13:04.101726
Tuấn thảo,Hai Phong,4.6,"['restaurant', 'food']",20.846644500401236,106.6901153,"28, Ngõ Nhà Thờ, Phường Lê Chân, Hải Phòng, 18000, Vietnam",restaurant,0.0,vietnamese,,,,vietnamese,,,,,,2025-10-22T02:13:04.101728
Nhà hàng Lẩu dê nhất ly,Hai Phong,4.7,"['restaurant', 'food']",20.849442000401293,106.6720503,"428, Phố Tô Hiệu, Phường Lê Chân, Hải Phòng, 18000, Vietnam",restaurant,0.0,vietnamese,,,,vietnamese,,,,,,2025-10-22T02:13:04.101730
Nhà hàng Gia Viên,Hai Phong,4.8,"['restaurant', 'food']",20.861960000401567,106.67617409999998,"2b, Phố Bạch Đằng, Phường Hồng Bàng, Hải Phòng, 18000, Vietnam",restaurant,0.0,vietnamese,,,,vietnamese,,,,,,2025-10-22T02:13:04.101732
TT Coffee,Hai Phong,4.9,"['restaurant', 'food']",20.86779870040171,106.6203004,"Quốc lộ 17B, An Dương, Hải Phòng, 35999, Vietnam",restaurant,0.0,vietnamese,,,,vietnamese,,,,,,2025-10-22T02:13:04.101736
Rock House Pizza,Ha Long,4.0,"['restaurant', 'food']",20.950647400403422,107.0757861,"12, Phố Văn Lang, Trần Hưng Đạo, Hạ Long, Quảng Ninh Province 01000, Vietnam",restaurant,0.0,vietnamese,,,,vietnamese,,,,,,2025-10-22T02:13:17.334249
Freshie,Ha Long,4.1,"['restaurant', 'food']",20.946006100403334,107.1031161,"Tran Quoc Nghien Road, Phường Hạ Long, Hạ Long, Quảng Ninh Province 01100, Vietnam",restaurant,0.0,vietnamese,,,,vietnamese,,,,,,2025-10-22T02:13:17.334258
Nhà Hàng Phương Nam 2 (NH Ngọc Phương Nam 2),Ha Long,4.2,"['restaurant', 'food']",20.946370200403333,107.0328312,"LV2, 03, Sun Premier Village, Đường Hạ Long, Bãi Cháy, Hạ Long, Quảng Ninh Province 01000, Vietnam",restaurant,0.0,vietnamese,,,,vietnamese,,,,,,2025-10-22T02:13:17.334261
Quán ăn vặt Ba Sói,Ha Long,4.3,"['restaurant', 'food']",20.979008000403958,107.02042620000002,"Lê Văn Hưu, Phường Việt Hưng, Hạ Long, Quảng Ninh Province, Vietnam",restaurant,0.0,vietnamese,,,,vietnamese,,,,,,2025-10-22T02:13:17.334263
14 Pizza Halong,Ha Long,4.4,"['restaurant', 'food']",20.95406050040348,107.02369269999998,"17, Phố Lê Văn Lương, Bãi Cháy, Hạ Long, Quảng Ninh Province 01000, Vietnam",restaurant,0.0,vietnamese,,,,vietnamese,,,,,,2025-10-22T02:13:17.334265
Quán Cà Phê Eleven Coffe,Ha Long,4.5,"['restaurant', 'food']",20.955971800403525,107.004185,"HO1-2, Mac Dinh Chi Street, Hùng Thắng, Hạ Long, Quảng Ninh Province 200000, Vietnam",restaurant,0.0,vietnamese,,,,vietnamese,,,,,,2025-10-22T02:13:17.334268
Pizza Hut,Ha Long,4.6,"['restaurant', 'food']",20.950872100403426,107.08478370000002,"2-4, Cảng Mới, Bạch Đằng, Hạ Long, Quảng Ninh Province 01100, Vietnam",restaurant,0.0,vietnamese,,,,vietnamese,,,,,,2025-10-22T02:13:17.334271
Mai Ly,Ha Long,4.7,"['restaurant', 'food']",20.944586100403303,107.107249,"Phố Hải Thắng, Hồng Hải, Hạ Long, Quảng Ninh Province 01010, Vietnam",restaurant,0.0,vietnamese,,,,vietnamese,,,,,,2025-10-22T02:13:17.334273
Hang 86,Ha Long,4.8,"['restaurant', 'food']",20.95598670040352,107.0523857,"Đường Hạ Long, Bãi Cháy, Hạ Long, Quảng Ninh Province 01000, Vietnam",restaurant,0.0,vietnamese,,,,vietnamese,,,,,,2025-10-22T02:13:17.334275
Open Bar 2,Ha Long,4.9,"['restaurant', 'food']",20.948885800403385,107.04890432195036,"Đường Kỳ Quan, Bãi Cháy, Hạ Long, Quảng Ninh Province 01000, Vietnam",restaurant,0.0,vietnamese,,,,vietnamese,,,,,,2025-10-22T02:13:17.334280
Open Bar 1,Ha Long,4.0,"['restaurant', 'food']",20.94830325040338,107.04717952111895,"Đường Kỳ Quan, Bãi Cháy, Hạ Long, Quảng Ninh Province 01000, Vietnam",restaurant,0.0,vietnamese,,,,vietnamese,,,,,,2025-10-22T02:13:17.334282
Hồ Cô Tiên Palace,Ha Long,4.1,"['restaurant', 'food']",20.952697950403454,107.096567083688,"Cô Tiên, Hong Gai, Hạ Long, Quảng Ninh Province 01100, Vietnam",restaurant,0.0,vietnamese,,,,vietnamese,,,,,,2025-10-22T02:13:17.334285
